OBJECTID,COMID_NHDv,HUC6,NT_Taxa,GNIS_NAME
56064,19761850,60101,3,
18466,8628361,30101,2,
19589,8672569,30101,1,
13851,8413013,20403,1,
16348,8526943,20802,3,
55790,19753485,60101,1,
15756,8522203,20802,1,
17289,8568227,20802,3,
19777,8674287,30101,1,
30049,9248460,30401,1,
15381,8506100,20801,1,
10378,5892422,20700,1,
39845,11583446,30102,1,
16959,8548729,20802,1,
8866,4506924,20700,2,
12263,6908391,50500,1,
11470,6888468,50500,1,
19047,8648520,30101,1,
19756,8674169,30101,1,Little Beards Creek
20173,8677873,30101,1,Fishing Creek
9277,4535997,20700,1,
10891,6883870,50500,3,
18233,8626715,30101,1,
15740,8522131,20802,1,
18544,8628649,30101,2,
32307,10066335,20802,1,
11570,6889282,50500,1,
20636,8696159,30101,1,
16671,8544533,20802,1,
8940,4508388,20700,4,
9226,4533725,20700,1,
16661,8544433,20802,1,Mallory Creek
19512,8672097,30101,1,Mill Creek
20267,8678911,30101,3,
12051,6905969,50500,1,
12200,6907927,50500,1,
15225,8503218,20801,3,
19723,8673559,30101,6,
21539,8740977,30102,1,Flat Branch
55920,19761016,60101,3,
15223,8503188,20801,1,
13915,8422232,20700,1,
20298,8679083,30101,1,
15631,8521285,20802,1,
21286,8724617,30102,1,
14893,8477908,20801,1,
55855,19754235,60101,1,
15375,8506072,20801,1,
18818,8631479,30101,2,
19049,8648550,30101,1,
20951,8712627,30101,1,
55921,19761018,60101,2,
15031,8490460,20801,1,
20566,8695507,30101,1,
16326,8526873,20802,4,
18552,8628683,30101,1,
21150,8723531,30102,1,
16256,8526571,20802,1,
19398,8657722,30101,1,
13854,8413091,20403,1,
59132,22338611,20700,1,
32062,9891662,20801,1,
12288,6908521,50500,2,
42650,12048574,30101,1,
18251,8626839,30101,1,
21440,8726051,30102,3,
32122,10054610,20802,3,
45866,14363980,20700,1,Waters Run
13889,8420688,20700,1,
16350,8526949,20802,1,
10339,5890728,20700,1,
20520,8694959,30101,2,
15744,8522143,20802,1,
15390,8506148,20801,1,
19624,8672853,30101,1,Stillhouse Run
20950,8712623,30101,2,
19096,8649326,30101,1,
19367,8657436,30101,1,
20890,8711791,30101,1,
16783,8546337,20802,1,
20892,8711815,30101,2,
35468,10478419,30102,1,
18782,8631311,30101,2,
20343,8679453,30101,1,
59243,22339431,20700,1,
42640,12048458,30101,1,
9278,4536093,20801,1,Slough Creek
17401,8573685,20802,1,
20389,8679753,30101,1,
18487,8628439,30101,1,
29996,9247804,30401,1,
17133,8551891,20802,5,
2038,1087343,50702,1,
17144,8552127,20802,3,
16087,8524875,20802,1,Nelse Branch
17894,8623411,30101,2,
8884,4507062,20700,1,
8732,4505842,20700,1,
18452,8628317,30101,3,
15689,8521785,20802,1,
55838,19754125,60101,2,Carrier Branch
11599,6889460,50500,3,
18067,8625203,30101,1,
29864,9246312,30401,1,
15776,8522357,20802,1,
18395,8628097,30101,2,
21799,8745359,30102,1,
17948,8623941,30101,1,
14882,8477252,20801,2,
15737,8522123,20802,1,
18134,8625919,30101,1,Bold Branch
20003,8675337,30101,1,
20561,8695455,30101,4,
20962,8713047,30101,4,
17872,8622857,20802,1,
14562,8467131,20801,1,
18924,8632283,30101,1,
29971,9247612,30401,1,
16170,8525461,20802,2,
21357,8725399,30102,1,
13936,8422952,20700,2,
18797,8631385,30101,3,
11552,6889162,50500,1,
20378,8679641,30101,1,
17030,8549407,20802,1,
20885,8711749,30101,1,
15136,8494380,20801,1,
19547,8672313,30101,1,
11636,6889730,50500,1,
29792,9245648,30401,3,
8753,4506012,20700,1,
35407,10477241,30102,1,
18094,8625435,30101,3,
18858,8631653,30101,1,
19395,8657704,30101,1,
21805,8745401,30102,1,
29909,9246754,30401,1,
12266,6908401,50500,4,
14703,8474968,20801,3,
15120,8493828,20801,2,
35617,10479417,30102,1,
16169,8525459,20802,1,
14424,8464833,20801,1,
12050,6905939,50500,1,Sarton Branch
15303,8505318,20801,1,
17707,8610305,20802,2,
15814,8522551,20802,2,
32218,10064391,20802,1,
59138,22338685,20700,1,
8968,4508600,20700,1,
16015,8524255,20802,1,
18711,8630843,30101,1,
19348,8657296,30101,1,Dix Branch
18224,8626631,30101,1,
32052,9888676,20801,1,
35309,10466515,30102,1,
13849,8412925,20403,1,
18050,8625043,30101,5,
20690,8698987,30101,1,
18640,8629067,30101,1,
29910,9246762,30401,1,
30473,9252504,30401,1,
10456,5895508,20700,1,
20334,8679347,30101,1,
18927,8632327,30101,1,Hatchet Creek
32133,10054942,20802,1,
16395,8527123,20802,2,
17909,8623613,30101,1,
14423,8464823,20801,1,
17785,8611109,20802,1,
11132,6885900,50500,1,
16362,8526987,20802,3,
17164,8552383,20802,4,
32155,10055988,20802,1,
16277,8526655,20802,2,
20715,8700789,30101,1,
15808,8522531,20802,1,
17439,8574823,20802,1,
35328,10473031,30102,2,
29764,9245306,30401,2,
30118,9249356,30401,1,
32044,9888082,20801,1,
17975,8624163,30101,3,
16401,8527177,20802,3,Dickey Farm Branch
20590,8695711,30101,1,
12194,6907885,50500,3,
13845,8412473,20403,1,
19654,8673067,30101,1,
19946,8675119,30101,1,
59328,22340131,20700,4,
20567,8695515,30101,6,
29733,9245038,30401,1,
18594,8628899,30101,1,
18039,8624949,30101,1,
12150,6907679,50500,1,
19017,8648154,30101,4,
21704,8743545,30102,1,
12187,6907843,50500,2,
17950,8623975,30101,1,
29747,9245152,30401,1,
20667,8696655,30101,1,
35469,10478427,30102,2,
20512,8693899,30101,2,
16976,8548811,20802,6,
20308,8679133,30101,2,
19683,8673295,30101,1,Little Matrimony Creek
30033,9248276,30401,1,
18166,8626185,30101,1,
34033,10231831,20801,3,
8958,4508536,20700,1,Broad Run
15630,8521283,20802,1,
45820,14362648,20700,1,
19243,8652394,30101,1,Panhandle Creek
20185,8678431,30101,1,
42775,12050248,30101,1,
14448,8465133,20801,2,
16131,8525209,20802,1,
18123,8625815,30101,1,
46050,14638309,60102,4,
14831,8476802,20801,3,
19706,8673421,30101,1,
20563,8695465,30101,1,
9167,4529507,20700,1,
20548,8695321,30101,1,
30471,9252464,30401,1,Nelson Creek
11407,6887968,50500,1,
16088,8524885,20802,1,Green Swamp Branch
16466,8539027,20802,1,
59281,22339655,20700,2,
35756,10482425,30102,1,
59313,22340021,20700,2,
2106,1088027,50702,1,Buck Branch
9240,4534027,20700,1,
15454,8506932,20801,2,Clapper Creek
17885,8623305,30101,1,
9269,4535543,20700,2,
9231,4533873,20700,1,
11061,6885390,50500,6,
15300,8505300,20801,1,
17879,8623229,30101,1,
18295,8627105,30101,2,
19755,8674167,30101,1,Rennet Bag Creek
29742,9245120,30401,1,
113,436062,50702,1,Mill Creek
17148,8552189,20802,3,
