OBJECTID,COMID_NHDv2,HUC6,NT_Taxa,GNIS_NAME,Jan_Flow_cfs,Feb_Flow_cfs,Mar_Flow_cfs,Apr_Flow_cfs,May_Flow_cfs,Jun_Flow_cfs,Jul_Flow_cfs,Aug_Flow_cfs,Sep_Flow_cfs,Oct_Flow_cfs,Nov_Flow_cfs,Dec_Flow_cfs,MA_Flow_cfs,StreamOrder,HUC8
18311,8627261,30101,27,Roanoke River,480.435,602.875,728.649,691.93,448.068,340.123,169.866,156.984,198.779,210.366,288.008,326.597,385.299,5,3010101
59604,22540102,60102,27,Indian Creek,187.06,191.189,203.161,155.127,124.983,68.413,44.362,33.82,24.754,33.96,77.255,129.298,103.116,3,6010206
10407,5894326,20700,27,Tuscarora Creek,79.521,133.533,125.685,40.848,28.383,20.66,12.637,10.534,12.446,13.609,17.256,39.13,26.054,3,2070004
10580,5907123,20700,26,South Fork Shenandoah River,2285.902,2538.852,3125.88,2784.073,2459.341,1365.631,1079.817,814.751,1393.26,1095.171,1528.864,1595.457,1730.178,5,2070005
59486,22539340,60102,25,Powell River,588.898,626.822,689.945,540.695,482.854,279.815,185.478,139.41,115.83,178.329,283.237,455.286,378.283,4,6010206
11018,6885182,50500,25,Little River,637.525,763.846,599.731,405.073,305.361,198.886,114.911,90.93,122.38,216.107,327.956,404.073,310.707,5,5050001
55565,19751539,60101,25,Middle Fork Holston River,405.371,542.386,557.474,448.75,367.271,244.931,163.18,132.151,107.601,124.177,172.559,267.24,292.399,4,6010102
46288,14639917,60102,25,Copper Creek,340.417,353.345,365.763,280.572,237.919,132.256,85.341,60.657,41.089,48.467,125.569,227.447,187.712,3,6010205
11284,6886804,50500,25,Chestnut Creek,89.076,97.048,119.266,112.99,97.639,86.036,61.873,56.265,63.343,68.534,75.506,73.31,83.289,3,5050001
35625,10479607,30102,25,,105.428,109.638,117.356,82.337,49.26,38.244,36.119,39.601,40.237,39.301,77.727,75.769,65.924,1,3010205
14510,8466033,20801,25,Rush River,91.235,139.009,136.974,46.986,38.26,26.909,15.474,13.5,25.603,54.65,52.829,60.648,37.799,1,2080103
15599,8520715,20802,25,Back Creek,40.814,65.063,129.389,82.338,59.417,42.167,23.161,18.896,30.995,48.959,44.289,42.958,37.65,1,2080201
46342,14640291,60102,25,Copper Creek,45.223,46.875,46.821,35.162,30.047,15.924,10.501,8.387,7.118,12.15,22.605,29.643,24.484,3,6010205
59599,22540082,60102,24,Powell River,1435.786,1526.059,1618.889,1286.683,1027.744,576.029,341.237,283.022,192.067,244.854,554.933,1051.361,844.268,5,6010206
59658,22540308,60102,24,Powell River,1321.91,1409.808,1487.337,1183.368,947.711,528.75,311.344,262.926,182.849,238.833,523.984,971.002,779.764,5,6010206
10429,5895050,20700,24,Back Creek,479.506,575.605,675.576,350.609,203.588,137.759,73.245,67.796,66.658,67.255,141.504,331.35,230.47,4,2070004
16432,8538473,20802,24,Calfpasture River,350.206,455.094,600.523,327.202,223.817,149.854,74.939,61.564,92.158,165.257,206.112,303.432,217.956,3,2080202
15555,8520499,20802,24,Jackson River,85.372,137.71,254.367,137.606,85.285,56.677,30.562,24.561,38.689,71.355,75.334,89.334,67.257,2,2080201
10361,5891598,20700,24,Harlan Run,48.514,88.739,78.448,23.486,17.139,12.716,7.797,6.581,7.965,8.928,10.554,22.598,14.816,2,2070004
14208,8445112,20700,23,Shenandoah River,3567.209,4075.893,4601.533,4334.948,3664.341,2917.583,1463.467,1306.133,1767.246,1950.432,2557.868,2796.529,2951.022,6,2070007
45838,14363048,20700,23,North Branch Potomac River,1637.185,2168.988,2873.885,2367.983,1872.937,1054.714,707.745,555.257,621.625,715.118,1059.249,1584.364,1431.059,5,2070002
15287,8505124,20801,23,North Anna River,585.278,671.246,813.746,619.092,393.952,257.083,157.967,156.672,130.23,159.171,286.83,399.537,394.567,5,2080106
16175,8525587,20802,23,Dunlap Creek,276.724,347.208,428.27,311.435,255.483,142.095,55.167,55.169,49.184,77.022,131.83,198.518,193.252,4,2080201
12066,6906193,50500,23,Indian Creek,404.97,572.925,424.009,266.269,198.909,118.663,73.464,54.83,49.988,53.456,89.301,210.632,175.55,4,5050002
10682,5908521,20700,23,South River,212.448,236.413,293.61,262.203,185.774,146.924,80.056,68.305,106.05,133.069,159.773,155.294,169.486,4,2070005
15612,8520751,20802,23,Jackson River,205.799,288.393,497.51,292.6,180.912,114.639,59.439,49.424,64.192,112.47,148.806,202.969,156.409,3,2080201
10466,5895594,20700,23,Opequon Creek,230.493,235.377,311.512,218.732,146.702,112.23,70.599,64.498,70.872,84.594,95.429,182.566,151.601,4,2070004
14045,8433600,20700,23,Lost River,275.404,388.893,470.767,205.247,148.774,97.96,54.564,46.185,49.721,100.901,153.718,221.347,146.778,4,2070003
46355,14640339,60102,23,Copper Creek,162.5,167.06,169.688,129.805,111.116,60.872,39.111,28.951,21.132,31.592,70.319,108.123,88.918,3,6010205
12206,6907957,50500,23,Sinking Creek,171.363,253.037,154.906,93.673,74.99,44.747,27.328,19.373,21.021,37.198,70.195,96.803,68.991,4,5050002
17711,8610339,20802,23,Vaughans Creek,105.912,162.788,151.141,47.529,31.673,22.354,13.977,11.285,13.97,15.495,28.216,48.489,32.834,3,2080207
13891,8420916,20700,23,,10.683,26.11,21.755,3.818,2.719,1.66,2.177,1.898,2.504,3.043,0.576,1.686,2.319,2,2070001
16887,8547869,20802,22,James River,5995.226,6883.948,8512.867,7192.739,5514.577,4195.118,2148.469,1851.055,2349.524,2589.745,3303.265,4454.483,4568.535,6,2080203
12320,6908735,50500,22,New River,5249.315,6267.003,7163.578,6458.424,5520.879,4479.205,3578.792,2626.59,2599.393,2967.461,3577.102,3966.479,4483.968,6,5050002
10989,6884648,50500,22,New River,4788.89,5774.764,6589.547,5968.485,5140.887,4261.379,2910.361,2551.846,2524.571,2874.174,3372.799,3608.733,4187.225,6,5050001
59990,166997544,60102,22,Clinch River,1131.249,1234.136,1326.072,1111.631,921.354,556.797,364.227,278.602,206.906,258.929,479.288,822.481,729.771,5,6010205
59520,22539794,60102,22,Powell River,933.923,988.215,1073.661,854.735,742.476,430.382,281.795,202.431,152.366,235.107,421.612,721.436,587.63,5,6010206
59506,22539732,60102,22,Powell River,878.373,929.251,1012.384,803.815,702.169,406.782,266.707,192.519,147.33,229.724,401.288,679.115,554.796,5,6010206
10958,6884432,50500,22,Little River,725.272,858.296,690.44,470.807,351.389,226.013,131.087,103.328,132.392,224.454,361.632,459.104,354.483,5,5050001
10366,5891710,20700,22,Opequon Creek,436.417,496.895,636.25,502.271,358.508,277.965,174.832,166.802,178.396,207.805,225.34,361.01,334.525,4,2070004
55977,19761410,60101,22,North Fork Holston River,433.255,475.809,529.923,416.717,359.646,208.047,139.544,110.347,88.299,144.655,204.968,321.284,282.535,4,6010101
10388,5892910,20700,22,Sleepy Creek,301.958,448.404,478.356,215.42,122.471,84.869,50.214,44.366,44.775,51.898,90.845,203.286,136.21,4,2070004
13953,8423356,20700,22,Seneca Creek,120.268,156.57,303.604,251.722,200.723,141.582,79.305,68.905,90.55,124.172,127.589,137.332,131.378,4,2070001
13893,8421594,20700,22,Lunice Creek,168.321,271.703,357.606,158.408,111.01,76.114,43.359,36.723,38.046,54.829,73.55,122.882,93.813,4,2070001
10552,5906837,20700,22,Hawksbill Creek,172.722,240.792,248.161,98.438,64.645,48.657,27.373,24.408,42.72,69.034,82.967,116.555,72.955,2,2070005
13969,8423690,20700,22,Strait Creek,59.713,100.004,180.367,92.598,61.018,41.483,22.563,17.052,25.98,52.349,52.592,60.482,44.9,2,2070001
14542,8466825,20801,22,Deep Run,65.052,103.242,91.228,24.909,18.546,13.709,8.685,7.242,9.313,9.36,19.355,30.416,18.468,3,2080103
18423,8628209,30101,22,North Fork Roanoke River,17.766,20.128,21.387,18.754,14.974,10.549,8.045,6.612,8.443,9.808,20.027,15.103,13.261,2,3010101
12225,6908105,50500,22,Spruce Run,29.435,52.885,23.317,13.565,10.672,6.619,4.249,2.852,3.152,3.44,7.673,12.734,9.161,1,5050002
19033,8648352,30101,22,Spring Creek,13.255,14.189,15.83,12.425,8.076,5.732,4.825,4.163,6.353,7.541,14.14,11.364,9.066,2,3010102
59753,24830444,60102,21,Clinch River,2239.823,2415.139,2587.187,2052.097,1682.767,1038.403,655.776,480.254,333.954,443.308,777.515,1479.772,1350.575,5,6010205
59649,22540254,60102,21,Powell River,2259.496,1823.235,2396.979,2055.439,1368.003,784.632,466.822,453.184,250.472,454.751,868.318,1372.35,1183.49,5,6010206
59756,24849828,60102,21,Clinch River,1294.02,1504.243,1548.308,1226.846,982.727,617.325,372.372,304.16,226.646,327.149,485.008,831.341,807.874,5,6010205
21224,8724073,30102,21,Nottoway River,947.47,1030.829,1208.766,951.001,573.194,375.481,297.65,225.55,397.133,427.435,481.762,570.873,621.787,5,3010201
15627,8521269,20802,21,Cowpasture River,732.007,798.027,1093.259,726.85,484.606,308.277,156.332,138.752,149.865,202.689,349.281,623.485,485.65,4,2080201
13961,8423458,20700,21,South Branch Potomac River,254.773,281.388,425.01,302.826,241.699,126.362,70.137,88.768,96.715,95.368,197.475,169.5,193.791,4,2070001
15570,8520567,20802,21,Jackson River,236.602,326.301,553.617,326.311,202.293,127.796,65.958,54.868,69.298,121.602,165.455,231.32,178.159,3,2080201
46275,14639889,60102,21,Copper Creek,304.473,315.214,325.593,249.365,212.169,117.732,75.858,54.187,37.275,45.341,115.169,203.034,167.611,3,6010205
46271,14639879,60102,21,Copper Creek,294.465,304.622,314.385,240.74,204.971,113.653,73.184,52.382,36.162,44.427,112.355,196.352,162.029,3,6010205
8967,4508598,20700,21,Goose Creek,248.772,318.662,331.409,151.811,104.005,73.735,39.178,34.651,39.094,47.087,88.639,156.831,105.084,4,2070008
46358,14640345,60102,21,Copper Creek,189.759,195.297,199.143,152.392,130.349,71.615,46.014,33.812,24.219,34.385,79.452,126.168,103.916,3,6010205
18732,8631007,30101,21,Pigg River,124.881,132.634,147.559,137.273,99.956,74.014,56.7,51.682,55.282,97.79,121.632,103.948,95.34,4,3010101
14150,8441257,20700,21,Passage Creek,121.628,136.225,171.508,143.607,112.146,75.175,18.276,17.082,39.974,46.471,58.759,82.041,84.909,3,2070006
13900,8421700,20700,21,Mill Creek,183.004,284.382,333.569,131.407,90.026,62.424,36.54,31.138,32.592,41.413,52.901,97.106,81.657,4,2070001
13890,8420744,20700,21,Lunice Creek,132.78,223.003,300.741,132.26,93.059,64.507,36.412,30.719,33.253,49.805,65.738,101.777,76.478,4,2070001
35868,10484711,30102,21,,72.365,70.751,74.676,51.04,30.67,25.639,25.001,29.161,31.652,59.686,65.369,54.915,45.482,1,3010205
14031,8433208,20700,21,Moores Run,43.016,78.369,67.502,19.027,14.644,11.294,6.992,6.166,7.368,10.529,17.598,21.751,13.484,3,2070003
10363,5891674,20700,21,Hoke Run,40.283,74.138,64.397,18.481,13.722,10.336,6.408,5.414,6.635,7.514,7.888,17.6,11.614,2,2070004
10568,5906897,20700,21,Muddy Creek,30.758,56.763,47.365,11.369,8.924,7.065,4.615,4.102,5.46,5.539,7.94,12.32,8.04,1,2070005
8913,4507344,20700,20,Potomac River,12201.512,15261.175,20052.667,18159.383,13756.145,8803.76,4875.356,4090.304,4595.042,6616.19,7739.127,10972.314,10542.213,7,2070008
11377,6887572,50500,20,New River,2343.521,2754.72,3203.613,2838.332,2496.666,2078.773,1428.149,1264.582,1240.644,1425.128,1758.353,1843.876,2051.802,5,5050001
10589,5907199,20700,20,South Fork Shenandoah River,1860.25,2029.39,2510.038,2046.974,1540.401,1157.674,665.83,703.717,860.847,956.697,1651.246,1429.346,1434.89,5,2070005
46367,14640411,60102,20,Clinch River,1185.039,1392.002,1423.163,1127.46,901.793,568.407,340.414,283.121,215.058,314.312,450.223,753.079,743.046,5,6010205
56164,19762552,60101,20,North Fork Holston River,1076.651,1205.223,1338.612,1035.958,882.67,524.194,329.739,267.388,187.935,236.221,398.432,755.607,687.669,4,6010101
13950,8423282,20700,20,North Fork South Branch Potomac River,463.332,531.587,1031.296,973.778,648.69,422.21,221.33,189.784,229.961,313.861,410.169,563.132,508.805,5,2070001
15847,8522773,20802,20,Craig Creek,684.807,742.561,926.668,641.645,416.305,266.752,109.441,98.048,109.723,137.211,244.946,469.739,403.803,4,2080201
16126,8525161,20802,20,Craig Creek,624.96,681.121,846.69,588.795,389.043,250.001,100.87,90.491,103.117,130.802,233.37,434.536,371.175,4,2080201
19983,8675267,30101,20,Dan River,231.387,241.094,280.51,268.535,220.987,179.93,137.66,143.378,219.699,274.704,217.473,199.132,201.683,4,3010103
46010,14637851,60102,20,Little River,178.397,192.665,223.084,182.148,156.223,88.372,67.529,56.13,63.14,99.488,109.724,145.069,126.315,3,6010205
19957,8675161,30101,20,Dan River,134.275,141.838,162.028,151.459,134.602,109.778,86.548,95.996,195.004,230.61,161.653,125.007,124.949,3,3010103
46681,14643269,60102,20,,196.846,202.599,225.207,169.517,134.082,82.88,53.808,42.261,40.186,64.207,100.251,149.731,118.338,4,6010205
21343,8725235,30102,20,Three Creek,113.902,122.426,136.242,100.131,59.395,44.457,40.1,41.584,46.576,39.537,59.235,77.916,72.302,4,3010201
10763,5909705,20700,20,Back Creek,74.203,131.169,131.806,44.595,37.968,29.578,18.878,19.914,45.305,61.76,42.669,49.792,37.221,3,2070005
16396,8527125,20802,20,Craig Creek,47.208,83.76,72.778,22.773,18.633,13.435,7.86,6.018,7.049,7.752,13.594,20.523,14.455,1,2080201
14488,8465775,20801,20,Jordan River,38.546,67.494,63.109,18.162,15.772,11.568,6.857,5.945,11.521,24.812,21.54,22.796,14.027,1,2080103
55530,19751361,60101,20,Mill Creek,20.178,22.071,21.892,16.626,15.245,8.23,5.853,4.867,6.651,14.643,13.097,14.329,12.347,2,6010102
11700,6890050,50500,20,Rock Creek,20.082,37.793,16.042,8.817,8.027,5.151,2.528,1.639,4.812,9.932,10.927,7.644,7.346,1,5050001
10427,5894812,20700,19,Potomac River,7941.792,10531.723,14143.505,13040.16,9795.737,5866.449,3302.225,2636.383,2664.826,4312.034,5137.353,7729.734,7182.522,6,2070004
12084,6906527,50500,19,New River,7502.478,9047.512,10668.447,9475.502,8008.646,5777.883,3605.875,3090.526,2968.42,3534.324,4378.262,5470.836,6159.723,6,5050002
16002,8523715,20802,19,James River,3088.775,3515.004,4480.555,3857.513,3166.731,2374.793,1013.416,845.871,891.182,1274.099,1780.095,2285.99,2404.112,5,2080201
13883,8420360,20700,19,South Branch Potomac River,1942.437,2369.03,3184.483,2377.657,2054.121,1078.642,543.565,584.079,633.064,799.596,1293.302,1502.698,1525.688,5,2070001
13875,8420120,20700,19,South Branch Potomac River,1572.132,1767.862,2351.382,2288.445,2472.994,1254.178,796.688,591.46,482.031,548.009,1515.894,1352.903,1410.617,5,2070001
10703,5908707,20700,19,North River,545.951,639.623,941.358,608.938,387.678,261.632,140.639,129.707,182.631,240.27,310.358,473.558,378.161,5,2070005
13899,8421684,20700,19,South Branch Potomac River,486.411,551.244,782.747,510.147,386.183,204.002,112.987,130.009,131.767,137.989,298.342,354.929,338.508,4,2070001
56000,19761520,60101,19,North Fork Holston River,520.338,620.831,647.662,491.318,436.361,247.699,136.334,121.687,98.559,150.851,204.43,349.074,334.202,4,6010101
20041,8675523,30101,19,Smith River,337.668,353.043,405.665,383.077,310.842,247.676,181.11,184.392,242.17,347.518,294.884,275.062,282.252,4,3010103
14670,8468687,20801,19,Rapidan River,333.775,340.082,398.883,315.203,229.207,243.6,98.865,78.12,121.725,164.032,206.237,271.808,228.94,4,2080103
45911,14368736,20700,19,Patterson Creek,289.612,395.231,507.033,381.069,276.456,123.109,84.229,75.497,68.917,86.311,123.466,218.199,217.283,5,2070002
46026,14637933,60102,19,Little River,279.507,295.884,341.352,273.91,235.714,134.138,100.877,80.778,83.191,124.113,156.072,220.226,190.012,4,6010205
14136,8441015,20700,19,North Fork Shenandoah River,277.951,376.273,472.324,242.335,177.888,115.617,58.146,57.609,73.587,112.923,163.285,220.393,164.299,4,2070006
45879,14364636,20700,19,Patterson Creek,227.746,364.686,498.031,239.284,149.839,96.759,56.212,45.779,46.863,58.321,94.177,178.54,134.638,4,2070002
46011,14637861,60102,19,Little River,159.161,172.958,199.798,164.133,140.254,79.136,60.721,51.096,58.537,93.62,100.183,130.422,113.69,3,6010205
145,437000,50702,19,Big Creek,247.752,342.383,210.717,132.087,102.495,60.524,38.13,28.324,26.191,42.626,90.689,139.036,96.936,4,5070201
12372,6909693,50500,19,Clear Fork,156.371,247.486,162.564,97.711,78.6,47.622,30.289,23.056,27.088,41.937,64.948,95.072,70.2,3,5050002
35838,10484535,30102,19,Goose Creek,98.152,95.784,101.511,70.52,41.893,35.291,34.299,40.58,42.132,85.211,85.728,73.961,62.315,1,3010205
18102,8625523,30101,19,Back Creek,77.517,86.252,96.379,89.78,66.104,48.735,35.87,32.844,40.011,51.702,72.719,64.124,60.215,3,3010101
16185,8525653,20802,19,,126.558,208.204,228.535,89.771,65.588,44.419,24.569,19.288,24.488,50.562,61.573,86.42,58.935,4,2080201
12330,6908891,50500,19,Camp Creek,121.571,195.19,117.436,70.171,55.29,33.142,21.753,14.979,17.616,24.668,37.722,66.309,48.828,4,5050002
12079,6906445,50500,19,Little Bluestone River,110.472,186.228,109.506,63.772,49.585,29.568,18.887,13.124,12.14,14.918,32.738,59.356,43.477,4,5050002
35738,10482265,30102,19,,63.531,60.9,64.512,43.976,26.383,21.172,20.141,23.264,26.03,48.19,59.122,48.767,39.146,1,3010205
59270,22339549,20700,19,Cedar Run,84.6,111.373,107.26,55.862,35.558,30.261,12.715,13.07,18.463,18.709,27.634,54.067,37.92,4,2070010
15557,8520505,20802,19,Shaws Fork,70.699,127.908,164.383,58.197,43.195,30.262,17.306,13.063,19.921,41.353,44.33,54.785,36.913,1,2080201
14493,8465799,20801,19,Covington River,76.344,120.003,116.778,37.222,30.315,21.698,12.573,10.694,24.601,49.834,45.592,48.816,30.884,1,2080103
11811,6891466,50500,19,Glade Creek,65.628,106.12,58.134,35.688,29.867,18.923,11.326,9.479,22.454,33.88,39.139,37.404,28.647,2,5050001
10745,5909061,20700,19,Back Creek,56.484,98.76,85.326,25.428,20.594,14.992,8.985,7.121,8.932,22.561,24.967,29.946,18.981,1,2070005
59645,22540234,60102,19,Blairs Creek,31.401,32.101,32.423,24.733,19.886,10.19,6.62,5.13,2.699,2.029,13.987,20.263,16.402,2,6010206
16271,8526627,20802,19,Broad Run,47.735,86.699,74.833,21.927,16.878,12.408,7.351,5.834,6.997,8.645,12.518,19.733,14.171,2,2080201
46140,14639167,60102,19,Meade Branch,6.179,6.487,6.746,5.301,4.574,2.519,1.546,0.974,0.687,0.49,2.763,4.857,3.587,1,6010205
17481,8575903,20802,18,James River,10244.013,11538.365,13803.046,11833.765,9072.561,7208.597,3761.891,3201.107,4339.262,4814.816,5848.539,7662.23,7753.598,6,2080205
102,435908,50702,18,Tug Fork,974.91,1049.562,1264.409,1266.356,1026.512,588.931,325.245,265.145,172.326,264.478,379.009,604.597,678.916,5,5070201
99,435868,50702,18,Tug Fork,965.059,1035.318,1243.076,1243.828,1008.174,579.363,319.92,260.484,169.564,261.844,376.174,599.309,668.461,5,5070201
46049,14638305,60102,18,Clinch River,786.674,871.48,922.149,791.127,659.103,393.642,256.624,201.275,158.998,210.271,357.518,568.161,517.07,5,6010205
14161,8441291,20700,18,North Fork Shenandoah River,620.733,691.994,917.627,720.115,591.098,382.912,183.428,217.657,274.401,318.643,389.151,456.35,479.102,4,2070006
15315,8505464,20801,18,North Anna River,558.911,655.796,634.033,625.406,403.726,356.693,224.351,215.904,228.916,313.252,307.831,423.714,413.558,5,2080106
14043,8433530,20700,18,Cacapon River,670.95,804.87,1010.76,523.527,335.482,218.687,117.373,103.199,111.351,201.949,329.685,564.139,378.545,4,2070003
14662,8468647,20801,18,Rapidan River,500.998,496.882,571.869,427.016,303.514,302.889,129.724,104.054,150.88,193.867,275.796,395.276,318.338,4,2080103
35837,10484529,30102,18,Scuppernong River,300.565,297.567,316.549,220.61,129.636,109.56,104.826,123.052,115.737,191.231,195.441,205.227,187.059,2,3010205
18260,8626865,30101,18,Blackwater River,174.507,185.093,208.666,203.429,143.463,109.95,80.964,76.22,82.518,115.476,156.742,139.811,134.697,4,3010101
15606,8520737,20802,18,Jackson River,131.714,202.37,367.982,205.584,122.71,80.071,42.921,34.714,50.63,93.2,108.858,139.237,103.105,2,2080201
14027,8433104,20700,18,North River,172.97,263.703,348.032,141.708,95.332,64.613,36.518,30.569,35.356,82.67,107.104,148.62,94.906,4,2070003
55683,19752321,60101,18,Middle Fork Holston River,147.661,158.16,167.466,129.918,114.551,64.399,43.66,32.456,31.468,69.95,81.18,108.615,92.362,4,6010102
12304,6908623,50500,18,Little Walker Creek,178.425,272.05,169.578,97.292,77.551,46.709,28.384,20.381,18.459,22.302,54.866,92.93,69.519,3,5050002
16134,8525233,20802,18,Barbours Creek,136.115,216.697,228.152,82.989,63.296,44.406,24.758,19.084,28.153,48.244,56.638,80.919,58.246,3,2080201
14630,8468441,20801,18,Rapidan River,105.893,160.31,184.726,71.837,55.878,42.12,27.35,23.268,47.698,74.356,65.511,76.392,54.252,2,2080103
14962,8489370,20801,18,Ni River,154.659,218.35,214.937,68.798,42.159,30.287,19.336,15.81,19.108,19.686,37.681,76.919,49.067,3,2080105
